crop,type,description,image url
Tomato,Tomato, Any kinds of tomato,static/images/Tomato.jpeg
Tomato,Arka Abhijith,Arka Abhijith is a high yielding F1 hybrid tomato variety developed by IIHR Bangalore. It is developed for the fresh market. The fruit weighs about 65-70g. The average yielding is 65 tons per hectare in 140 days.,static/images/ArkaAbhijit.webp
Tomato,Abhinav,It is a semi-determinate plant with broad leaves and excellent foliage cover. It is suitable for long-distance transport. The colour is glossy and deep red and yields 60-65 days after planting. This tomato variety is cultivated in Kharif and rabi season. The fruits are firm with good keeping quality and suitable for processing.,static/images/Abhinav.webp
Tomato,Namdhari,Namdhari is a determinate early maturing hybrid variety of tomato in India. The fruits weigh about 80-90g with an attractive and glossy red colour. The sowing month is from August to October and is cultivated across almost all the states in India.  ,static/images/Namdhari.webp
Tomato,Rashmi,The tomatoes are round firm and smooth brightly coloured. Rashmi is a determinate and widely adapted hybrid variety. The fruit weighs about 90 gm and the first harvest is about 70 days from planting. This tomato variety is suitable for processing.,static/images/Rashmi.webp
Tomato,Vaishali,Vaishali is a determinate hybrid variety of tomato that produces medium-sized (100g) of high-quality fruits. The cultivar is adapted to thrive in hot and humid conditions. This variety is resistant to Fusarium and Verticillium. It is suited for processing purposes especially in the juice industry. ,static/images/Vaishali.jpeg
Tomato,Rupali,Rupali is a determinate compact growing and early tomato hybrid with good foliage cover that produces medium-sized (100g) firm round smooth and high-quality fruits. This variety is appropriate for processing purposes. ,static/images/Rupali.webp
Tomato,Arka Shrestha, Arka Shreshta is a high yielding hybrid variety of tomatoes developed by IIHR Bangalore. It is semi-determinate with light green foliage and the fruit weighs about 70-75 g. The fruits are firm have a long shelf life (17days) and are easy to transport. It is suited for both table and processing purposes. The crop is cultivated during the Kharif/ rabi season and matures after the rabi season. The average yield is 76t/ha. ,static/images/ArkaShreshtha.jpeg
Tomato,Arka Vardan,This is a hybrid variety of tomato in India developed by IIHR Bangalore. This is an indeterminate plant with fruits that weigh about 140 g with a green shoulder. It is ideal for table purposes. The crop is cultivated during the Kharif/Rabi season and matures after 160 days. The average yield is 75t/ha. ,static/images/ArkaVardhan.jpeg
Tomato,Arka Vishal,Arka Vishal is a hybrid variety of tomato released by IIHR. The plants are indeterminate. The fruit is huge and weighs about 140g. This tomato variety is suitable only for table purposes. The variety is cultivated in Kharif/Rabi season and matures in 160 days. The average yield is 75t/ha.,static/images/ArkaVishal.jpg
Tomato,Arka Vikas, This is a hybrid variety of tomatoes in India developed by IIHR Bangalore. It is oblate medium-large (8-90g) with a light green edge and turns a deep crimson colour when they ripen. It is developed for a new market and adapted to both rainfed and irrigated environments. This variety of tomatoes is best suited for table purposes. ,static/images/ArkaVikas.jpeg
Tomato,Pusa Early Dwarf, It is a hybrid variety of tomato in India developed by IARI New Delhi. It is a determinate type cultivar that ripens early. The tomatoes are flattish round medium-large and have a yellow stem end. The tomatoes are ready for harvesting 75-80 days after transplantation. The average yield per hectare is 35 tons. This variety of tomato is suited for both table and processing variety. ,static/images/PusaEarlyDwarf.jpeg
Tomato,Pusa Ruby, This is a cultivar that matures quickly. The plant has a height of 80-85cms and it is indeterminate. The fruits are flat to spherical medium-sized with a slightly acidic pulp. It is suitable for both processing and table variety.  The average yield is 32.5 t/ha. This variety is suitable for sowing in both autumn-winter and spring-summer seasons. ,static/images/PusaRuby.jpeg
Tomato,Pusa Gaurav,  Plants are dwarf bushy and have a moderate amount of foliage coverage. Smooth elliptical fruits are borne in bushes. The unripe fruits are firm with thick flesh (0.6m)and two well-filled locules making long-distance transit easier. The fruit is suitable for both canning and processing purposes because of its higher brix content and Keeping quality.,static/images/PusaGaurav.jpg
Bitter gourd,Bitter gourd,Any kind of bitter gourd,static/images/BitterGourd.webp
Bitter gourd,Arka Harit,Fruits short spindle shaped and green coloured with smooth regular ribs and moderate bitterness. Yield 9-12 t/ha.,static/images/ArkaHarit.webp
Bitter gourd,Pusa Vishesh,Selection from a local collection and suitable for growing during summer. Fruits glossy green medium long and thick.,static/images/PusaVishesh.jpg
Bitter gourd,Pusa Do Mausami,Fruits dark green club like with 7-8 continuous ribs. Fruit weight 100-120 g. Yield 12-15 t/ha.,static/images/PusaDoMausami.jpg
Bitter gourd,Pusa Hybrid 1,Fruits medium thick long and gloss green yield 20 t/ha in 120 days,static/images/PusaHybrid1.jpg
Bitter gourd,Priya (VK1),Extra long green spiny fruits with white tinge at stylar end av. Fruit length 39 cm. av. Fruit weight 235 g. productivity 24.5 t ha-1,static/images/Priya(VK1).jpg
Bitter gourd,Preethi (MC 4),Medium sized white fruits with spines av. Fruit length 30 cm av. Fruit girth 24 cm av. Fruit weight 0.31 kg. productivity 15.0 t/ha-1,static/images/Preethi(MC 4).jpg
Bitter gourd,Priyanka,	Large white spindle shaped fruits with smooth spines thick flesh and less seeds.  Av. Fruit length 25 cm. av. Fruit girth 20 cm. av. Fruit weight 0.30 kg. Productivity 28.0 t/ha-1,static/images/Priyanka.webp
Bitter gourd,CO.1,	Fruits dark green with medium length (20-25 cm) and weight (100-120 g). Yield 14 t/ha.,static/images/CO 1.webp
Bitter gourd,Coimbatore Long Green,Extra long fruits (60 cm) with dark green colour.,static/images/CoimbotoreLongGreen.jpg
Bitter gourd,MDU.1,Fruit weight 300-450 g. yield 15-18 t/ha.  Induced mutant with long (30-40 cm) greenish white fruits fruit length 30-40 cm yield 30-35 t/ha.,static/images/MDU.1.webp
Bitter gourd,Coimbatore Long White,Extra long fruits (60-65 cm) with white colour yield 15 t/ha.,static/images/CoimbotoreLongWhite.webp
Bitter gourd,COBgH 1,F1 hybrid developed by crossing MC 84 x MDU1. Fruits are light green in colour plumpy with more warts each weighs 200g.-300g. Yields 44.40 t/ha in 115-120 days.  It is rich in momordicin (2.99 mg per 100g).,static/images/COBgH.1.jpeg
Bitter gourd,Konkan Tara,Fruits green prickly medium long (15-16 cm) and spindle shaped.  Yield 24 t/ha.,static/images/KonkanTara.jpg
Bitter gourd,Punjab 14,Plants bushy and bear light green fruits with average weight of 35 g. Yield 14 t/ha.,static/images/Punjab14.webp
Bitter gourd,Kalyanpur Baramasi,Fruits long (30-35 cm) light green thin and tapering tolerant to fruit fly and mosaic yield 20 t/ha in 120 days.,static/images/KalyanpurBaramasi.jpg
Bitter gourd,Hirkani,Fruits dark green 15-20 cm long spindle shaped with warts and prickles yield 14 t/ha in 160 days.,static/images/Hirkani.webp
Bitter gourd,Phule Green,Fruits dark green 25-30 cm long prickled tolerant to downy milde yield 23n t/ha in 160-180 days.,static/images/PhuleGreen.jpeg
Bottle gourd,Bottle gourd,Any kind of bottle gourd.,static/images/BottleGourd.jpeg
Bottle gourd,Kashi Kiran (VRBG-4),Light green attractive round fruits tolerant to Downey Mildew. Fuit weight 600-700 g. Number of fruits 13-14/plant average yield 45-48 t/ha. Recommended for cultivation in Uttar Pradesh & notified vide gazette notification number S.O. 692(E) dated 05.02.2019.,static/images/KashiKiran(VRBG-4).jpeg
